problem_id,iteration,field,adding_knowledge,example_testing,uncertainty_estimation,backtracking
0,1,summary,2,0,0,0
1,1,summary,5,1,0,0
10,1,summary,4,0,0,0
11,1,summary,3,0,0,0
12,1,summary,0,1,0,0
13,1,summary,5,0,0,1
14,1,summary,4,2,0,0
15,1,summary,5,0,0,0
16,1,summary,5,3,0,0
17,1,summary,4,0,0,0
18,1,summary,4,0,0,0
19,1,summary,4,0,0,1
2,1,summary,4,0,0,0
20,1,summary,4,0,0,0
2024-I-1,1,summary,0,0,0,0
2024-I-10,1,summary,3,0,0,0
2024-I-11,1,summary,4,0,1,0
2024-I-12,1,summary,2,0,2,0
2024-I-13,1,summary,2,1,0,2
2024-I-14,1,summary,4,0,0,1
2024-I-15,1,summary,7,0,0,3
2024-I-2,1,summary,4,0,0,0
2024-I-3,1,summary,0,0,0,0
2024-I-4,1,summary,3,0,0,0
2024-I-5,1,summary,5,0,0,0
2024-I-6,1,summary,5,1,0,0
2024-I-7,1,summary,2,0,0,1
2024-I-8,1,summary,1,0,0,0
2024-I-9,1,summary,5,0,0,1
2024-II-1,1,summary,1,0,0,0
2024-II-10,1,summary,4,0,0,0
2024-II-11,1,summary,4,0,0,0
2024-II-12,1,summary,4,0,0,0
2024-II-13,1,summary,4,0,0,0
2024-II-14,1,summary,3,0,0,0
2024-II-15,1,summary,0,0,0,3
2024-II-2,1,summary,4,5,0,0
2024-II-3,1,summary,5,1,0,1
2024-II-4,1,summary,0,0,0,0
2024-II-5,1,summary,4,0,0,1
2024-II-6,1,summary,3,0,0,0
2024-II-7,1,summary,0,0,0,0
2024-II-8,1,summary,3,0,0,0
2024-II-9,1,summary,5,0,2,2
21,1,summary,5,0,1,0
22,1,summary,4,0,0,0
23,1,summary,5,0,0,0
24,1,summary,4,0,0,0
25,1,summary,4,0,0,1
26,1,summary,3,0,0,0
27,1,summary,0,1,0,0
28,1,summary,4,0,0,0
29,1,summary,4,0,2,1
3,1,summary,4,0,0,0
4,1,summary,4,0,0,0
5,1,summary,0,0,0,0
6,1,summary,5,0,0,0
7,1,summary,4,0,0,0
8,1,summary,7,0,0,0
9,1,summary,9,1,0,4
