problem_id,year_seed,base_year,seed,majority_voted_answer_by_index,answer_frequencies,ground_truth_answer,tie_in_frequency,self_consistent_score
2024-I-4,2024_s0,2024,s0,116,{'116': 5},116,False,1.0
2024-II-4,2024_s0,2024,s0,33,{'33': 5},33,False,1.0
2024-I-3,2024_s0,2024,s0,809,{'809': 5},809,False,1.0
2024-II-6,2024_s0,2024,s0,55,{'55': 5},55,False,1.0
2024-I-7,2024_s0,2024,s0,540,{'540': 5},540,False,1.0
2024-I-1,2024_s0,2024,s0,204,{'204': 5},204,False,1.0
2024-I-6,2024_s0,2024,s0,294,{'294': 5},294,False,1.0
2024-II-10,2024_s0,2024,s0,468,"{'468': 4, '520': 1}",468,False,1.0
2024-II-1,2024_s0,2024,s0,73,{'73': 5},73,False,1.0
2024-II-12,2024_s0,2024,s0,23,{'23': 5},23,False,1.0
2024-I-8,2024_s0,2024,s0,2023,"{'2023': 1, '273': 1, '341': 1, '511': 1, '197': 1}",197,True,0.2
2024-I-12,2024_s0,2024,s0,24,"{'24': 2, '72': 1, '12': 1, '144': 1}",385,False,0.0
2024-I-11,2024_s0,2024,s0,133,"{'419': 1, '8': 1, '133': 2, '9': 1}",371,False,0.0
2024-II-11,2024_s0,2024,s0,601,"{'601': 2, '401': 1, '13': 1, '7': 1}",601,False,1.0
2024-I-2,2024_s0,2024,s0,25,{'25': 5},25,False,1.0
2024-II-3,2024_s0,2024,s0,45,"{'45': 4, '39': 1}",45,False,1.0
2024-II-7,2024_s0,2024,s0,699,{'699': 5},699,False,1.0
2024-I-13,2024_s0,2024,s0,110,"{'110': 4, '134': 1}",110,False,1.0
2024-I-15,2024_s0,2024,s0,721,{'721': 5},721,False,1.0
2024-II-15,2024_s0,2024,s0,108,"{'108': 1, '9': 1, '90': 1, '27': 1, '60': 1}",315,True,0.0
2024-II-9,2024_s0,2024,s0,932,"{'932': 1, '2': 1, '900': 1, '1024': 1, '0': 1}",902,True,0.0
2024-II-14,2024_s0,2024,s0,211,"{'211': 4, '121': 1}",211,False,1.0
2024-II-5,2024_s0,2024,s0,80,"{'80': 4, '080': 1}",80,False,1.0
2024-I-9,2024_s0,2024,s0,480,"{'479': 1, '480': 2, '80': 1, '137': 1}",480,False,1.0
2024-II-2,2024_s0,2024,s0,236,{'236': 5},236,False,1.0
2024-I-10,2024_s0,2024,s0,113,"{'113': 4, '4': 1}",113,False,1.0
2024-II-8,2024_s0,2024,s0,7,"{'7': 4, '127': 1}",127,False,0.0
2024-I-14,2024_s0,2024,s0,104,"{'8192': 1, '164': 1, '425': 1, '104': 2}",104,False,1.0
2024-I-5,2024_s0,2024,s0,104,"{'200': 1, '104': 2, '191': 1, '108': 1}",104,False,1.0
2024-II-13,2024_s0,2024,s0,321,{'321': 5},321,False,1.0
1,2025_s0,2025,s0,49,{'49': 5},49,False,1.0
0,2025_s0,2025,s0,468,{'468': 5},468,False,1.0
3,2025_s0,2025,s0,106,"{'1489': 2, '106': 3}",106,False,1.0
8,2025_s0,2025,s0,149,"{'149': 4, '150': 1}",149,False,1.0
15,2025_s0,2025,s0,468,{'468': 5},468,False,1.0
16,2025_s0,2025,s0,49,{'49': 5},49,False,1.0
18,2025_s0,2025,s0,106,"{'106': 4, '70': 1}",106,False,1.0
2,2025_s0,2025,s0,74,"{'74': 1, '6': 1, '082': 1, '82': 1, '144': 1}",82,True,0.2
4,2025_s0,2025,s0,336,"{'336': 2, '330': 1, '264': 1, '324': 1}",336,False,1.0
5,2025_s0,2025,s0,,{},,False,0.0
6,2025_s0,2025,s0,237,"{'237': 3, '60671': 2}",237,False,1.0
7,2025_s0,2025,s0,600,"{'600': 2, '610': 2, '596': 1}",610,True,0.4
9,2025_s0,2025,s0,907,"{'907': 4, '570': 1}",907,False,1.0
10,2025_s0,2025,s0,12609,"{'12609': 1, '113': 1, '24': 1, '2': 1, '225': 1}",113,True,0.2
11,2025_s0,2025,s0,,{},,False,0.0
12,2025_s0,2025,s0,3,"{'19': 1, '3': 2, '208': 1, '951': 1}",248,False,0.0
13,2025_s0,2025,s0,104,"{'104': 4, '112': 1}",104,False,1.0
14,2025_s0,2025,s0,188,"{'188': 3, '1': 1, '144': 1}",240,False,0.0
17,2025_s0,2025,s0,82,"{'82': 1, '100': 1, '70': 1, '64': 1, '6': 1}",82,True,0.2
19,2025_s0,2025,s0,345,"{'345': 1, '340': 1, '216': 1, '360': 1, '348': 1}",336,True,0.0
20,2025_s0,2025,s0,293,"{'293': 4, '217': 1}",293,False,1.0
21,2025_s0,2025,s0,237,{'237': 5},237,False,1.0
22,2025_s0,2025,s0,600,{'600': 5},610,False,0.0
23,2025_s0,2025,s0,149,"{'150': 2, '149': 3}",149,False,1.0
24,2025_s0,2025,s0,907,"{'1': 1, '907': 4}",907,False,1.0
25,2025_s0,2025,s0,105,"{'105': 1, '12': 1, '23169': 1, '021': 1, '1': 1}",113,True,0.0
26,2025_s0,2025,s0,19,"{'19': 4, '39': 1}",19,False,1.0
27,2025_s0,2025,s0,208,"{'724': 1, '208': 3, '62208': 1}",248,False,0.0
28,2025_s0,2025,s0,104,"{'104': 3, '100': 1, '101': 1}",104,False,1.0
29,2025_s0,2025,s0,328,"{'328': 1, '188': 1, '246': 1, '244': 1, '324': 1}",240,True,0.0
